Country territory (ISO3),gis_name,name_alt,pcode,adm1_pcode,adm2_pcode,pop_type,loc_subtype,source,longitude_D,latitude_D,footnote,comments,created_user,created_date,type_formula,pop_formula,x,y
Afghanistan,Paktika,,AFGs015390,21AFG012,21AFG012001,52,40,UNHCR ,68.7307,33.1764,,,,,Spontaneous Location,Refugee,7651066.525899999,3918741.588100001
Afghanistan,Baghak,,AFGs026110,21AFG018,21AFG018001,53,38,IM Field,69.52803,36.74331,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7739824.895500001,4403387.652000003
Afghanistan,Shamal Darya,,AFGs026120,21AFG031,21AFG031001,53,38,IM Field,63.12790649,34.9967605,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7027366.405200001,4163440.9177
Afghanistan,Ustad Khalilullah Khalili,,AFGs026096,21AFG003,21AFG003002,53,38,IM Field,69.245556,34.898889,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7708380.033599999,4150149.0383
Afghanistan,Panjwai Center,,AFGs026128,21AFG027,21AFG027004,53,38,IM Field,65.45249722,31.5419972,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7286138.661899999,3703339.657499999
Afghanistan,Aka Khail Area,,AFGs026092,21AFG001,21AFG001014,53,38,IM Field,69.167897,34.863503,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7699735.0733,4145347.183600001
Afghanistan,Mihterlam,,AFGs026103,21AFG007,21AFG007001,53,38,IM Field,70.20916667,34.6713889,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7815648.682399999,4119313.3948
Afghanistan,Daman,,AFGs026099,21AFG006,21AFG006002,53,38,IM Field,70.472552,34.464041,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7844968.603500001,4091282.8972999975
Afghanistan,Kahdistan,,AFGs026122,21AFG032,21AFG032001,53,38,IM Field,62.294333,34.333639,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,6934573.4289,4073690.0581
Afghanistan,Qala-e-Nasro & Bini Warsak,,AFGs026095,21AFG003,21AFG003002,53,38,IM Field,69.312222,34.898889,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7715801.2588,4150149.0383
Afghanistan,Sher Khan Bandar,,AFGs026111,21AFG019,21AFG019007,53,38,IM Field,68.390513,37.091454,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7613197.0823,4451861.973399997
Afghanistan,Bolan,,AFGs026125,21AFG030,21AFG030001,53,38,IM Field,64.32099324,31.56572008,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7160180.214499999,3706438.6696000025
Afghanistan,"PD 2, 5 & 6",,AFGs026109,21AFG017,21AFG017001,53,38,IM Field,70.55824,37.10384,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7854507.348099999,4453590.6445999965
Afghanistan,Shahrak Mohajreen,,AFGs026106,21AFG009,21AFG009005,53,38,IM Field,68.776406,36.176662,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7656154.4945,4324957.0977
Afghanistan,Herat,,AFGs000003,21AFG032,21AFG032001,52,41,UNHCR ,62.1844,34.3492,,,,,Arrangement (hosted or rental),Refugee,6922335.743299998,4075787.989699997
Afghanistan,Majboorabad,,AFGs026098,21AFG006,21AFG006001,53,38,IM Field,70.470531,34.412139,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7844743.626899999,4084277.391900003
Afghanistan,Tapa-e-Wahdat,,AFGs026107,21AFG010,21AFG010005,53,38,IM Field,66.97666389,34.7354333,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7455808.119199999,4127985.4575000033
Afghanistan,Ghaziabad,,AFGs026091,21AFG001,21AFG001005,53,38,IM Field,69.399528,34.558583,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7725520.118299998,4104054.9680999964
Afghanistan,Laghmani ,,AFGs026094,21AFG003,21AFG003001,53,38,IM Field,69.174686,35.010916,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7700490.8213,4165364.683799997
Afghanistan,Khairo Kariz,,AFGs026116,21AFG025,21AFG025001,53,38,IM Field,65.88063278,32.6160358,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7333798.493999999,3844449.3363000005
Afghanistan,Noor Abad,,AFGs026113,21AFG028,21AFG028007,53,38,IM Field,66.1259,36.5026,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7361101.516199999,4370000.569200002
Afghanistan,Shekh Mesri,,AFGs026100,21AFG006,21AFG006003,53,38,IM Field,70.325686,34.381838,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7828619.555199999,4080189.505099997
Afghanistan,Qalat City,,AFGs026117,21AFG026,21AFG026001,53,38,IM Field,66.91532135,32.11019897,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7448979.499000002,3777784.6633
Afghanistan,Kama,,AFGs026102,21AFG006,21AFG006005,53,38,IM Field,70.63638889,34.4072222,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7863206.842599999,4083613.9692
Afghanistan,Shahrak-e-Amir Shansab,,AFGs026114,21AFG023,21AFG023001,53,38,IM Field,65.262691,34.527639,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7265009.5298999995,4099873.019199997
Afghanistan,Herat EC,,AFGs003911,21AFG032,21AFG032002,53,37,UNHCR ,62.15867,34.42772,,,,,Centre,Returnee,6919471.492800001,4086379.9902999997
Afghanistan,Aroki,,AFGs026093,21AFG002,21AFG002001,53,38,IM Field,69.36388889,35.0036111,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7721552.790600002,4164371.8889999986
Afghanistan,Charbagh,,AFGs026104,21AFG007,21AFG007002,53,38,IM Field,70.289722,34.531667,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7824616.061000001,4100417.298100002
Afghanistan,Sakhi Camp & Qalin Bafan,,AFGs026112,21AFG021,21AFG021002,53,38,IM Field,67.317171,36.777581,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7493713.1974,4408149.626000002
Afghanistan,Qalamwal,,AFGs026118,21AFG014,21AFG014001,53,38,IM Field,69.98511389,33.3929222,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7790707.2412,3947574.7041999996
Afghanistan,Qala-e-Abdul Ali,,AFGs026089,21AFG001,21AFG001001,53,38,IM Field,69.037646,34.500828,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7685235.598299999,4096250.8838
Afghanistan,Guzara,,AFGs026123,21AFG032,21AFG032003,53,38,IM Field,62.17005447,34.2527722,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,6920738.806699999,4062793.8677999973
Afghanistan,Asadabad,,AFGs026108,21AFG015,21AFG015001,53,38,IM Field,71.15277778,34.8741667,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7920690.990800001,4146794.022399999
Afghanistan,Mahajer Abad,,AFGs026124,21AFG033,21AFG033001,53,38,IM Field,62.0928543,32.35048909,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,6912144.922200002,3809406.2097000033
Afghanistan,Gulan,,AFGs009599,21AFG014,21AFG014003,52,38,UNHCR ,69.92432282,33.22617453,,,,,Planned Settlement,Refugee,7783940.010899998,3925363.4729999974
Afghanistan,Damqul,,AFGs026119,21AFG029,21AFG029003,53,38,IM Field,64.847759,35.969817,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7218819.511,4296469.032200001
Afghanistan,Shash Pool and Qashqa,,AFGs026097,21AFG004,21AFG004009,53,38,IM Field,67.59407,34.49263,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7524537.453000002,4095143.5759000033
Afghanistan,Khost,,AFGs026087,21AFG014,21AFG014001,52,40,UNHCR ,69.92204475,33.3327053,,,,,Spontaneous Location,Refugee,7783686.4166,3939548.7512999997
Afghanistan,Aziz Khan Kas,,AFGs026105,21AFG007,21AFG007002,53,38,IM Field,70.352778,34.516222,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7831635.422899999,4098330.4531000033
Afghanistan,Surkhrod,,AFGs026101,21AFG006,21AFG006003,53,38,IM Field,70.25638889,34.4344444,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",NEW,,,Planned Settlement,Returnee,7820905.436099999,4087287.544200003
Afghanistan,Nilli,,AFGs026115,21AFG024,21AFG024001,53,38,IM Field,66.156171,33.710922,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7364471.268599998,3990051.648400001
Afghanistan,Samar Khail EC,,AFGs003914,21AFG006,21AFG006002,53,37,UNHCR ,70.56,34.36,,,,,Centre,Returnee,7854703.270399999,4077244.2729
Afghanistan,Jamail Mayna EC,,AFGs003912,21AFG027,21AFG027001,53,37,UNHCR ,65.74909,31.50083,,,,,Centre,Returnee,7319155.218899999,3697963.6943999976
Afghanistan,Kabul EC,,AFGs003913,21AFG001,21AFG001005,53,37,UNHCR ,69.3472,34.5438,,,,,Centre,Returnee,7719694.991900001,4102056.915100001
Afghanistan,Kabul,,AFGs009598,21AFG001,21AFG001001,52,41,UNHCR ,69.175298,34.527,,,,,Arrangement (hosted or rental),Refugee,7700558.948800001,4099786.677500002
Afghanistan,Loya Wala,,AFGs026126,21AFG027,21AFG027001,53,38,IM Field,65.708889,31.635417,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7314680.064100001,3715548.013899997
Afghanistan,Tarakhail Daag,,AFGs026090,21AFG001,21AFG001004,53,38,IM Field,69.385003,34.50785,"This location is a Priority Areas of Return and Reintegration (PARR). It includes host community, IDPs and returnees (refugees and undocumented Afghans).",OLD,,,Planned Settlement,Returnee,7723903.202599999,4097199.4353
