pcode,Country 1,Border Name in Country 1,Country 2,Border Name in Country 2,loc_type,mod_by,mod_date,created_user,created_date,x,y
AFGTKMc000023,Afghanistan,Andkhoi,Turkmenistan,,Not Official,,"November 15, 2012",,,7208453.1105,4421859.387500003
AFGPAKc000042,Afghanistan,Rubat,Pakistan,,Not Official,,"November 15, 2012",,,6790804.751800001,3481071.6608000025
AGOCODc000002,Angola,Kimbala,Democratic Republic of the Congo,,Official,,"August 23, 2017",,,1670979.0254000016,-654169.0773000009
AGOCODc000001,Angola,Chissanda,Democratic Republic of the Congo,Tshibinda,Official,,"June 22, 2017",,,2323292.2599,-813251.0216999985
AGOCODc000003,Angola,Luvo,Democratic Republic of the Congo,,Official,,"August 23, 2017",,,1567917.6453999989,-654686.6649999991
AUTDEUc000003,Austria,Kollerschlag,Germany,Wegscheid,Not Official,,"November 4, 2015",,,1540746.3553999998,6208102.006399997
AUTDEUc000004,Austria,Kufstein,Germany,Kiefersfelden,Official,,"November 4, 2015",,,1357392.4673999995,6041390.690099999
AUTDEUc000005,Austria,Schärding,Germany,Neuhaus,Not Official,,"November 24, 2015",,,1495295.386500001,6184230.114
AUTDEUc000001,Austria,Salzburg,Germany,Freilassing,Not Official,,"October 19, 2015",,,1448600.5337000005,6080860.180699997
AUTDEUc000002,Austria,Oberndorf bei Salzburg,Germany,Laufen,Not Official,,"November 4, 2015",,,1440641.3013999984,6096878.7711
BFAMLIc000051,Burkina Faso,Diguel,Mali,,Not Official,,"November 15, 2012",,,-198142.624499999,1630087.5315000005
BFAMLIc000052,Burkina Faso,Nassoumbou,Mali,,Not Official,,"November 15, 2012",,,-137668.9835000001,1660515.1491999999
BFAMLIc000054,Burkina Faso,Soum bellah,Mali,,Not Official,,"November 15, 2012",,,-119177.08839999884,1667053.207800001
BFAMLIc000053,Burkina Faso,Rafnamane,Mali,,Not Official,,"November 15, 2012",,,-80194.03570000082,1697983.185800001
BFAMLIc000050,Burkina Faso,Pétegoli,Mali,,Not Official,,"November 15, 2012",,,-221882.26289999858,1598402.0993999988
BFAMLIc000060,Burkina Faso,Koloko,Mali,Heremakono,Not Official,,"November 15, 2012",,,-597252.8816,1245304.5337000005
BGRGRCc000004,Bulgaria,Svilengrad,Greece,Ormenio,Official,,"October 4, 2016",,,2912563.1570999995,5124773.939599998
BGRROUc000001,Bulgaria,Vidin,Romania,Calafat,Official,,"January 12, 2016",,,2547968.3363999985,5465709.2897000015
BGRGRCc000003,Bulgaria,Kulata,Greece,Promachonas ,Official,,"October 4, 2016",,,2600774.6292000003,5068554.187799998
BGRSRBc000001,Bulgaria,Kalotina,Serbia,Gradinje,Official,,"October 4, 2016",,,2545722.1317000017,5311295.449299999
BGRGRCc000001,Bulgaria,Haskovo,Greece,Trigono,Official,,"October 4, 2016",,,2912821.9749,5123305.493600003
BGRROUc000002,Bulgaria,Ruse,Romania,Giurgiu,Official,,"January 12, 2016",,,2895512.907299999,5447500.861400001
BGRMKDc000002,Bulgaria,Zlatarevo,North Macedonia,Novo Selo,Official,,"October 4, 2016",,,2556471.4756999984,5070928.2136999965
BGRTURc000001,Bulgaria,Balyarovo,Turkey,,Not Official,,"October 4, 2016",,,2928950.878800001,5163246.1699
BGRGRCc000002,Bulgaria,Ivayalovgrad,Greece,,Official,,"October 4, 2016",,,2914232.9494999982,5093624.168300003
BGRMKDc000001,Bulgaria,Gyueshevo,North Macedonia,Deve Bair,Official,,"October 4, 2016",,,2500177.7657999992,5193991.557700001
BGRTURc000002,Bulgaria,Sredets,Turkey,,Not Official,,"October 4, 2016",,,3025775.0793000013,5212827.853100002
BGRROUc000011,Bulgaria,Durankulak,Romania,Vama Veche,Other,KROLIKIE,"April 19, 2023",core_edit,"April 20, 2023",3179086.152899999,5424715.304099999
BGRROUc000012,Bulgaria,Vama Veche,Romania,Durankulak,Other,KROLIKIE,"April 19, 2023",core_edit,"April 20, 2023",3179377.5691,5425172.227399997
BGRSRBc000002,Bulgaria,Strezimirovtsi,Serbia,Strezimirovci,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2499091.215399999,5281324.630400002
BGRGRCc000005,Bulgaria,Ilinden,Greece,Exochi,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2652282.7782000005,5078056.572800003
BGRROUc000003,Bulgaria,Kaynardzha,Romania,Lipnita,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",3069098.0243000016,5467816.941699997
BGRROUc000005,Bulgaria,Krushari,Romania,Dobromir,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",3093182.142000001,5459427.863700002
BGRROUc000006,Bulgaria,Lom,Romania,Desa,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2587032.8106999993,5439244.726499997
BGRGRCc000006,Bulgaria,Makaza,Greece,Nymphaia,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2830695.4880999997,5051617.940099999
BGRROUc000007,Bulgaria,Oryahovo,Romania,Bechet,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2668665.5791999996,5424870.941600002
BGRROUc000008,Bulgaria,Svishtov,Romania,Zimnich,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2822004.1776,5407167.434199996
BGRROUc000009,Bulgaria,Silistra,Romania,Calarasi,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",3036563.9486999996,5484155.176299997
BGRROUc000010,Bulgaria,Somovit-Nikopol,Romania,Turnu Magurele,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2770543.2694999985,5419923.080700003
BGRROUc000004,Bulgaria,Kardam,Romania,Negru Voda,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",3133299.9243,5432194.686899997
BGRMKDc000003,Bulgaria,Logodazh,North Macedonia,Delchevo,Official,krolikie,"May 2, 2023",core_edit,"May 3, 2023",2546527.3431,5158982.2619
BLRUKRc000001,Belarus,Mochro,Ukraine,Dolsk,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2843883.4422999993,6788484.7751
BLRUKRc000002,Belarus,Verchny Terebezhov,Ukraine,Gorodishche,null,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2973497.0879999995,6769199.7348000035
BLRUKRc000003,Belarus,Tomashovka,Ukraine,Pulemets,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2628930.7434,6720319.117200002
BLRUKRc000004,Belarus,Mokrany,Ukraine,Domanove,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2700696.6569,6770071.502099998
BLRUKRc000005,Belarus,Novaya Rudnya,Ukraine,Vystupovichi,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",3240390.682,6736246.503899999
BLRUKRc000006,Belarus,Komarin,No code (ISO user specified),Slavutych,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",3406512.042100001,6699823.359499998
BLRUKRc000007,Belarus,Veselovka,Ukraine,Senkovka,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",3536076.180300001,6818560.748000003
BLRUKRc000010,Belarus,Novaya Huta,Ukraine,Novye Yarilovichi,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",3449467.1147000007,6814185.042099997
BLRLVAc000001,Belarus,Grigorovschina,Latvia,Paternieki,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",3074755.7342000008,7520761.831799999
BLRLVAc000002,Belarus,Urbany,Latvia,Silene,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2991981.661800001,7502143.513700001
BLRLTUc000001,Belarus,Privalka,Lithuania,Raigardas,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2669575.1937999986,7159936.487899996
BLRLTUc000002,Belarus,Kamenny Log,Lithuania,Medininkai,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2861904.3621999994,7273476.350299999
BLRLTUc000003,Belarus,Kotlovka,Lithuania,Lavoriskes,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2867376.355900001,7308170.617899999
BLRLTUc000004,Belarus,Benyakoni,Lithuania,Salcininkai,Other,UNHCR Belarus,"April 5, 2022",core_edit,"April 6, 2022",2824758.8227000013,7222693.942299999
BRAVEN000001,Brazil,Pacaraima,Bolivarian Republic of Venezuela,Santa Elena de Uairen,Not Official,,"February 8, 2018",,,-6806994.0155,499579.9074999988
CAFCMRc000155,Central African Republic,Ngaoui,Cameroon,Gaigo,Official,,"October 22, 2014",,,1664192.9692000002,753117.1231999993
CAFCMRc000154,Central African Republic,Gaudrot,Cameroon,Gbatoua Ngodole,Official,,"October 22, 2014",,,1638723.0920000002,704709.254999999
CAFCMRc000150,Central African Republic,Gari Gombo,Cameroon,Mollaye,Official,,"October 22, 2014",,,1682129.9010999985,438139.2470000014
CAFCMRc000151,Central African Republic,Kentzou,Cameroon,,Official,,"October 22, 2014",,,1681817.2490999997,460288.15890000015
CAFCMRc000149,Central African Republic,Mboy,Cameroon,,Official,,"October 22, 2014",,,1723194.5480000004,385802.35060000047
CAFCMRc000153,Central African Republic,Garoua Boulai,Cameroon,Cantonnier,Official,,"October 22, 2014",,,1618997.2894000001,657795.4912
CAFCMRc000156,Central African Republic,Bouyangou,Cameroon,Yamba,Official,,"October 22, 2014",,,1692713.0450999998,793148.3357000016
