Country,pcode,gis_name,name_alt,name_fr,name_sp,loc_type,address_1,address_2,address_3,address_4,city,ds_code,x,y
Aruba (K. of the Netherlands),ABWp000001,Oranjestad,,,,UNHCR Field Office,,,,,Oranjestad,ABWOR,-7796013.211200001,1405208.3396000005
Afghanistan,AFGp000432,Kabul CO,,Kaboul,,UNHCR Country Office,"41, Jadi Solh (Peace Avenue)",Shar-e-Naw,,,Kabul,AFGKA,7700445.736900002,4100402.2990000024
Afghanistan,AFGp000004,Kabul,Kabul,Kaboul,,UNHCR Field Unit,41 Jadi Solh (Peace Avenue),,,,Kabul,AFGKS,7700445.736900002,4100402.2990000024
Afghanistan,AFGp000002,Herat,,Herat,,UNHCR Field Office,"Mahbas Street, Mohammada Residence",,,,Herat,AFGHE,6926824.367800001,4075259.1895999983
Afghanistan,AFGp000006,Mazar-i-Sharif,,Mazar-i-Sharif,,UNHCR Sub-Office,Dash-e-Shor,,,,Mazar-i-Sharif,AFGMA,7470042.443500001,4399958.558499999
Afghanistan,AFGp000005,Kandahar,,Kandahar,,UNHCR Field Office,Shar-e-Now,,,,Kandahar,AFGKD,7312169.141600002,3712434.379900001
Afghanistan,AFGp000001,Bamyan,,Bamyan,,UNHCR Field Unit,North Stern Air Strip Sarasyab,Shahr-e-Ghul Ghula Bamyan,,,Bamyan,AFGBA,7550952.2324,4138777.3945000023
Afghanistan,AFGp000405,Kunduz,,Kunduz,,UNHCR Field Unit,,,,,,AFGKU,7666674.743000001,4401990.213299997
Afghanistan,AFGp000003,Jalalabad,,Jalalabad,,UNHCR Sub-Office,Near Public Health Hospital,,,,Jalalabad,AFGJA,7841159.361900002,4087400.0556000024
Afghanistan,AFGp000440,Gardez,,Gardez,,UNHCR Field Office,Ghazni Station Road,,,,Gardez,AFGGA,7705048.129900001,3975161.4302999973
Angola,AGOp000027,Dundo,,,,UNHCR Field Office,,,,,,ANGDU,2317857.367899999,-820451.6055000015
Angola,AGOp000019,Luanda,,Luanda,,UNHCR Country Office,Rua Eduard Mondlaine/SN,,,,Luanda,ANGLU,1473088.0386999995,-986858.4560000002
Albania,ALBp000015,Gjirokastra,,,,UNHCR Field Unit,,,,,,ALBGJ,2238137.1143999994,4875941.918099999
Albania,ALBp000014,Tirana,,Tirana,,UNHCR Country Office,"rruga Skenderbej, UN House",,,,Tirana,ALBTI,2205060.1253999993,5060806.544100001
United Arab Emirates,AREp000367,Abu Dhabi,,Abu Dhabi,,UNHCR Field Unit,PO Box No. 3490,"Bainuna Str., near Bahrain Embassy","Street No. 14, Bateeen Area",,Abu Dhabi,UAEAB,6052329.394900002,2811641.3002999984
Argentina,ARGp000027,Buenos Aires,,Buenos Aires,,UNHCR Multi-Country Office,Cerrito 836,10  piso,,,Buenos Aires,ARGBU,-6499118.742799999,-4109479.601399999
Armenia,ARMp000028,Yerevan,,Erevan,,UNHCR Country Office,14 Adamyan str,,,,Yerevan,ARMYE,4955101.7095,4891457.206299998
Australia,AUSp000029,Canberra (MCO),,Canberra,,UNHCR Multi-Country Office,3 Lyons Place,,,,Lyons,AULCA,16595096.1356,-4210077.7861
Austria,AUTp000031,Vienna,,Vienne,,UNHCR Country Office,"Vienna International Centre, E-11",P.O. Box 550,Wagramer Strasse 5,,Vienna,AUSVI,1827582.2853999995,6145820.786600001
Austria,AUTp000032,Vienna (LO-OSCE),,Vienna (LO-OSCE),,UNHCR Liaison Office,,,,,Vienna,AUSLO,1827582.2853999995,6145820.786600001
Azerbaijan,AZEp000032,Baku,,Bakou,,UNHCR Country Office,"3, Azer Aliyev St.",,,,Baku,AZEBA,5546348.802099999,4926675.761100002
Burundi,BDIp000072,Muyinga,,Muyinga,,UNHCR Field Office,Muyinga,,,,Muyinga,BDIMU,3378106.8335999995,-316652.16589999944
Burundi,BDIp000073,Ruyigi,,Ruyigi,,UNHCR Sub-Office,,,,,Ruyigi,BDIRU,3367115.9263000004,-386975.9158000015
Burundi,BDIp000070,Bujumbura,,Bujumbura,,UNHCR Country Office,"No. 1, Avenue du Large",,,,Bujumbura,BDIBU,3267592.5166999996,-377489.40150000155
Burundi,BDIp000535,Makamba,,Makamba,,UNHCR Field Office,Quartier Kigwati,,,,Makamba,BDIMA,3317320.8255999982,-460482.9734000005
Belgium,BELp000036,Brussels (MCO - EU Affairs),,Bruxelles (MCO - EU Affairs),,UNHCR Multi-Country Office,Rue Van Eyck 11b,,,,B-1050 Bruxelles,BELBR,486179.74969999865,6589587.6022000015
Burkina Faso,BFAp000856,Bobo-Dioulasso,,Bobo-Dioulasso,,UNHCR Field Office,,,,,,BKFBD,-477757.998300001,1252310.0073000006
Burkina Faso,BFAp000848,Dori,,Dori,,UNHCR Sub-Office,,,,,,BKFDO,-3086.898400001228,1578080.8599000014
Burkina Faso,BFAp000069,Ouagadougou,,Ouagadougou,,UNHCR Country Office,,,,,,BKFOU,-170318.82090000063,1387048.2624000013
Burkina Faso,BFAp000857,Djibo,,Djibo,,UNHCR Field Unit,,,,,,BKFDJ,-181093.87079999968,1585610.294300001
Burkina Faso,BFAp000859,Kaya,,Kaya,,UNHCR Sub-Office,,,,,,BKFKA,-120336.36950000003,1468644.9921000004
Burkina Faso,BFAp002327,Ouahigouya     ,,Ouahigouya        ,,UNHCR Field Office,,,,,,BKFOA,-268927.85229999945,1526393.1959000006
Burkina Faso,BFAp002328,Fada Ngourma,,,,UNHCR Field Office,,,,,,BKFFA,39827.66620000079,1352790.4376999997
Bangladesh,BGDp000034,Dhaka,,Dacca,,UNHCR Country Office,P.O. Box 3474,House N/E (N) 8,,,Dhaka,BGDDA,10065044.4892,2728920.9373000003
Bangladesh,BGDp000033,Cox's Bazar,Cox's Bazaar,Cox's Bazar,,UNHCR Sub-Office,New Cottage,Motel Road,,,Cox's Bazaar,BGDCO,10239723.360599998,2444302.2919000015
Bulgaria,BGRp000068,Sofia*,,Sofia,,UNHCR Liaison Office,19 Denkoglu str.,,,,Sofia,BULSO,2596063.2544,5265746.576499999
Bahamas,BHSp002489,Nassau*,,Nassau*,,UNHCR Liaison Office,,,,,,BHSNA,-8611119.2103,2883116.0736999996
Bosnia and Herzegovina,BIHp000058,Sarajevo,,Sarajevo,,UNHCR Country Office,Unis Building,Fra Andjela Zvizdovica 1,,,Sarajevo,BSNSA,2049391.8255000003,5443647.973099999
Bosnia and Herzegovina,BIHp000063,Tuzla,,Tuzla,,UNHCR Field Unit,Rudarska 72,,,,Tuzla,BSNTU,2077889.6151,5549236.107299998
Bosnia and Herzegovina,BIHp000040,Bihac,,Bihac,,UNHCR Field Unit,Becira Islamovica 22,,,,Bihac,BSNBI,1766640.3189000003,5593699.366899997
Belarus,BLRp000035,Minsk,,Minsk,,UNHCR Country Office,Prospekt Partizanskij 6 A,6th Floor,,,Minsk,BLRMI,3067631.207800001,7151618.070799999
Belize,BLZp000037,Belmopan**,,Belmopan**,,UNHCR National Office,,,,,,BZEBE,-9883946.268,1951811.1097999997
Brazil,BRAp000902,Belem,,Belem,,UNHCR Field Unit,,,,,Belem,BRABE,-5396988.0896000005,-161214.17330000177
Brazil,BRAp000900,Boa Vista,,Boa Vista,,UNHCR Sub-Office,,,,,Boa Vista,BRABO,-6756782.609999999,315390.87220000103
Brazil,BRAp000901,Paracaima,,Paracaima,,UNHCR Field Unit,,,,,Paracaima,BRAPA,-6806928.9717,498585.33630000055
Brazil,BRAp000067,Brasilia,,Brasilia,,UNHCR Country Office,SHIS QL 24 conjunto 04 casa 16,Lago Sul,,,Brasilia,BRABR,-5335512.2469,-1779227.327399999
Brazil,BRAp000899,São Paulo,São Paulo,São Paulo,,UNHCR Field Office,,,,,,BRASA,-5190037.264699999,-2702470.171599999
Brazil,BRAp000637,Manaus,,Manaus,,UNHCR Field Office,,,,,,BRAMA,-6680797.1612,-347745.5590999983
Botswana,BWAp000596,Dukwi,,Dukwi,,UNHCR Field Office,,,,,,BOTDU,2941602.7386999987,-2343406.5716000013
Central African Republic,CAFp000885,Bouar,Bouar,Bouar,,UNHCR Sub-Office,,,,,,CARBR,1734373.4371999986,662367.3288000003
Central African Republic,CAFp000650,Paoua,,Paoua,,UNHCR Field Office,,,,,,CARPA,1829412.1429999992,808482.4516000003
Central African Republic,CAFp000577,Kaga Bandoro,,Kaga Bandoro,,UNHCR Field Office,,,,,,CARKA,2135066.7074999996,781876.9596000016
Central African Republic,CAFp000080,Bangui,,Bangui,,UNHCR Country Office,Rue Joseph Degrain,,,,Bangui,CARBA,2065867.110100001,486603.57939999923
Central African Republic,CAFp006577,Obo,,Obo,,UNHCR Field Office,,,,,,CAROB,2941611.3592999987,602187.9917000011
Central African Republic,CAFp017780,Berberati,,Berbérati,,UNHCR Field Office,,,,,,CARBE,1734373.4371999986,492942.3867000006
Central African Republic,CAFp017781,Bria,,Bria,,UNHCR Field Unit,,,,,,CARBI,2447656.398499999,729452.1559000015
Central African Republic,CAFp017782,Bangassou,,,,UNHCR Field Unit,,,,,,CARBN,2540094.3258000016,528133.1853
Central African Republic,CAFp017783,Mongoumba,,,,UNHCR Field Office,,,,,,CARMN,2069985.7087000012,404125.5549999997
Canada,CANp000079,Ottawa,,Ottawa,,UNHCR Country Office,280 Albert Street,,,,Ottawa,CANOT,-8427036.0683,5687802.601499997
Canada,CANp000657,Montreal,,Montréal,,UNHCR Field Unit,,,,,,CANMO,-8191222.091,5700582.7324
Canada,CANp000658,Toronto,,Toronto,,UNHCR Field Unit,,,,,,CANTO,-8840660.0003,5414053.453400001
Switzerland,CHEp000663,Bern (LO),,Bern (BL),,UNHCR Liaison Office,4 Weltpoststrasse,,,,Bern,SWIBE,831898.5780000016,5932130.2238000035
Switzerland,CHEp000332,Geneva (HQ),Geneva,Genève (QG),,UNHCR HeadQuarter,94 Rue Montbrillant,,,,Geneva,SWIGE,683635.0208999999,5815743.929099999
Switzerland,CHEp000664,Geneva (RO - Europe),Geneva,Genève (BR - Europe),,UNHCR Regional Office,94 Rue Montbrillant,,,,Geneva,SWIRB,683635.0208999999,5815743.929099999
Chile,CHLp000721,Santiago*,,Santiago**,,UNHCR Liaison Office,,,,,,CHLSA,-7864443.837099999,-3958522.3929000013
Chile,CHLp000722,Arica,,Arica,,UNHCR Field Unit,,,,,Arica,CHLAR,-7825850.635299999,-2093883.6598999985
Chile,CHLp000723,Antofagasta,,Antofagasta,,UNHCR Field Unit,,,,,,CHLAN,-7836613.369000001,-2710993.293299999
China,CHNp000085,Beijing,,Beijing,,UNHCR Country Office,22314 DPBJG CN1-2-1,,,,Beijing,CHIBE,12963499.348000001,4858105.216499999
Cote d'Ivoire,CIVp000095,Abidjan,,Abidjan,,UNHCR Country Office,Angle Rue Des Jardins-Boulevard Latrille,"Cocody, II Plateaux",,,Abidjan,ICOAB,-444904.1523000002,599513.7655999996
Cote d'Ivoire,CIVp000098,Guiglo,,Guiglo,,UNHCR Sub-Office,P.O. Box 623,,,,Guiglo,ICOGU,-833139.7820000015,729973.4362000003
